"Dataset","GOLD","CAIM","CACC","Ameva","ChiMerge","Chi2","ExtendChi2","MDLP"
"Iris","3.3","5","5","5","3.6","3.6","2.9","2.65"
"BreastCancer","3.62","4","4","4","4.13","4.13","2.96","3.07"
"Ionosphere","6.21","4","6.2","5.11","28.41","28.41","4.82","3.98"
"Glass","2.51","8","29.31","8.07","5","5","2.69","2.64"
"Vehicle","3.97","6","6.5","6.01","9.37","9.37","4.11","3.73"
"Sonar","3.22","4","38.54","4.95","15.28","15.29","1.85","1.31"
"PimaDiabetes","3.4","4","22","4.32","13.28","13.28","2.3","2"
"Vowel","3.04","13","480.31","13.02","13.33","13.49","5.04","3.36"
"Satellite","8.99","8","8","8","18.13","18.13","12.34","11.45"
"Shuttle","4.87","9","9.2","9.04","14.42","14.42","9.29","8.47"
"BostonHousing","4.9","4","4.07","4","23.58","23.52","2.82","2.58"
"Ozone","3.44","4","4.29","4.13","7.98","7.98","2.24","2.16"
"Waveform","2.89","5","33.51","5.11","13.33","13.45","2.18","2.1"
"Normals2D","3.1","6","6","6","7","12.8","2.6","2.3"
"Circle","4.65","4","5.55","4.95","27","26.9","2.75","2.65"
"Spirals","5.4","4","7.5","5.7","22.7","22.7","2.7","2.4"
"Cassini","3.3","5","5.3","5","6.1","6.3","3","3"
"Ringnorm","4.53","4","6.31","4.9","26.12","26.01","2.75","2.85"
"Threenorm","3.16","4","47.98","4.39","24.97","24.94","1.77","1.47"
"Twonorm","4.27","4","4.52","4.01","28.17","28.18","2.12","2.27"
"AirQuality","3.47","4","4","4","5.73","6.2","1.93","2.2"
"Mean","4.11","5.38","35.15","5.7","15.13","15.43","3.58","3.27"
