"Dataset","GOLD","CAIM","CACC","Ameva","ChiMerge","Chi2","ExtendChi2","MDLP","Best"
"Iris",0.9832,0.2941,0.2965,0.2965,0.9858,0.6717,0.6905,0.9843,"ChiMerge"
"BreastCancer",0.9933,0.793,0.7982,0.7982,0.9937,0.9918,0.9858,0.992,"ChiMerge"
"Ionosphere",0.9508,0.5611,0.1328,0.1498,0.9454,0.5,0.5,0.9434,"GOLD"
"Glass",0.912,0.6811,0.7316,0.6813,0.9058,0.5911,0.6817,0.9099,"GOLD"
"Vehicle",0.8379,0.3793,0.3626,0.3572,0.8536,0.4885,0.5001,0.8372,"ChiMerge"
"Sonar",0.8216,0.284,0.2871,0.2691,0.7627,0.4307,0.5178,0.8155,"GOLD"
"PimaDiabetes",0.8136,0.3246,0.3769,0.2692,0.8077,0.5646,0.5384,0.8085,"GOLD"
"Vowel",0.9072,0.6912,0.7061,0.7072,0.9225,0.5149,0.499,0.905,"ChiMerge"
"Satellite",0.9626,0.7282,0.7394,0.7394,0.9639,0.5062,0.5078,0.9634,"ChiMerge"
"Shuttle",0.9128,0.5608,0.5298,0.5242,0.9252,0.7216,0.7078,0.9318,"MDLP"
"BostonHousing",0.9027,0.1296,0.1385,0.1343,0.9002,0.7639,0.798,0.8852,"GOLD"
"Ozone",0.8965,0.2316,0.2966,0.2528,0.8958,0.5312,0.5299,0.8887,"GOLD"
"Waveform",0.9374,0.3939,0.5269,0.4376,0.9115,0.6721,0.8804,0.9376,"MDLP"
"Normals2D",0.9274,0.6604,0.5776,0.5776,0.9308,0.6492,0.7199,0.9099,"ChiMerge"
"Circle",0.9033,0.3937,0.2683,0.1688,0.8115,0.4812,0.5375,0.8602,"GOLD"
"Spirals",0.8019,0.4732,0.3753,0.4251,0.7338,0.4573,0.4573,0.6421,"GOLD"
"Cassini",1,0.302,0.3193,0.299,1,0.5277,0.5143,1,"GOLD, ChiMerge, MDLP"
"Ringnorm",0.9904,0.2917,0.0244,0.0225,0.9599,0.5,0.3411,0.9894,"GOLD"
"Threenorm",0.8431,0.2189,0.4312,0.3706,0.7465,0.6099,0.6366,0.7685,"GOLD"
"Twonorm",0.9875,0.055,0.2456,0.0622,0.9754,0.822,0.8685,0.9908,"MDLP"
"AirQuality",0.9052,0.1508,0.1448,0.1448,0.9087,0.4157,0.3847,0.8955,"ChiMerge"
"Mean",0.9138,0.4094,0.3957,0.3661,0.8972,0.591,0.6094,0.898,"—"
